area_sqm,bedrooms,bathrooms,age_years,neighborhood,has_garage,distance_to_center_km,price_k
120.7,3,1.0,45.0,riverside,1,8.9,444.5
73.6,2,1.0,5.0,oldtown,1,3.6,251.0
136.3,4,2.0,35.0,eastgate,1,13.3,410.6
142.9,4,2.0,20.0,greenfield,0,10.1,507.3
41.7,1,1.0,22.0,riverside,1,15.7,160.5
64.4,1,1.0,57.0,riverside,1,8.2,166.7
114.5,3,2.0,36.0,eastgate,0,0.7,419.2
98.9,2,1.0,36.0,riverside,0,3.3,244.6
109.4,4,1.0,21.0,hillview,0,9.9,420.4
80.1,2,1.0,22.0,oldtown,1,16.7,238.0
140.8,5,2.0,41.0,riverside,0,6.7,633.9
137.2,4,3.0,2.0,eastgate,0,14.3,489.0
112.3,3,1.0,14.0,greenfield,1,6.8,426.1
149.5,4,1.0,36.0,riverside,1,10.0,418.9
126.4,2,2.0,37.0,oldtown,0,6.1,443.1
79.9,1,1.0,5.0,eastgate,1,15.1,250.5
122.9,2,1.0,47.0,greenfield,1,20.1,261.8
109.8,1,1.0,32.0,hillview,1,19.1,153.7
109.8,3,2.0,14.0,greenfield,0,40.0,360.9
108.3,4,1.0,45.0,oldtown,0,3.7,374.4
103.5,3,1.0,59.0,oldtown,1,8.9,282.7
86.2,3,1.0,25.0,eastgate,0,3.8,273.2
152.8,5,3.0,17.0,hillview,1,14.7,646.9
104.6,3,1.0,29.0,greenfield,0,2.8,367.6
95.0,2,1.0,35.0,hillview,1,15.2,269.3
109.8,3,2.0,2.0,oldtown,1,7.8,466.8
128.6,4,3.0,29.0,oldtown,1,6.3,533.9
122.8,3,1.0,1.0,hillview,1,6.8,535.1
124.4,4,2.0,2.0,oldtown,1,2.4,539.6
125.1,4,3.0,25.0,eastgate,0,2.6,441.0
185.0,5,2.0,44.0,oldtown,0,7.9,621.8
95.8,2,1.0,53.0,oldtown,1,7.8,303.5
92.1,2,1.0,5.0,eastgate,1,3.9,295.4
81.5,2,1.0,14.0,riverside,1,5.4,381.7
131.6,4,2.0,25.0,eastgate,1,9.5,397.0
149.5,4,2.0,34.0,oldtown,0,3.4,574.3
106.0,3,1.0,59.0,hillview,1,7.0,445.5
80.6,3,2.0,41.0,eastgate,1,17.9,204.7
81.1,3,2.0,32.0,eastgate,1,8.3,265.1
132.8,5,2.0,3.0,greenfield,1,4.5,469.6
136.0,5,2.0,4.0,oldtown,1,3.8,584.7
129.0,3,2.0,29.0,oldtown,1,3.3,547.0
86.7,3,1.0,39.0,eastgate,0,14.6,218.6
118.1,3,2.0,19.0,eastgate,1,2.0,358.2
114.1,4,2.0,14.0,eastgate,0,8.9,384.5
117.7,3,3.0,40.0,eastgate,0,8.9,357.6
140.5,4,2.0,48.0,eastgate,0,11.5,432.1
117.8,2,1.0,26.0,oldtown,1,4.9,415.4
133.8,4,2.0,52.0,eastgate,0,16.9,283.9
112.4,2,1.0,44.0,riverside,1,11.7,385.0
120.1,4,2.0,42.0,hillview,1,4.8,460.7
132.1,5,2.0,52.0,eastgate,1,3.6,447.5
59.0,1,2.0,11.0,hillview,0,6.0,158.2
98.8,3,1.0,45.0,oldtown,0,4.6,315.8
93.5,2,1.0,57.0,greenfield,1,3.1,315.0
87.6,2,1.0,59.0,eastgate,1,7.1,223.4
100.4,3,2.0,34.0,hillview,1,5.4,438.6
162.3,5,2.0,45.0,greenfield,1,19.6,439.2
79.7,3,1.0,53.0,hillview,1,4.6,246.2
143.9,4,1.0,51.0,eastgate,1,3.6,484.5
51.1,2,2.0,53.0,riverside,1,6.7,171.3
98.3,3,2.0,49.0,oldtown,1,8.1,324.9
115.7,4,2.0,22.0,oldtown,1,8.6,420.1
109.8,3,1.0,43.0,riverside,0,8.5,504.0
134.9,4,2.0,24.0,hillview,0,6.9,517.8
137.8,4,2.0,48.0,oldtown,0,6.5,507.2
97.8,2,1.0,48.0,eastgate,1,10.4,333.2
93.8,3,2.0,56.0,oldtown,1,2.9,343.0
140.0,4,2.0,35.0,riverside,0,3.6,595.6
103.3,3,2.0,28.0,greenfield,1,1.5,310.1
65.4,3,1.0,9.0,eastgate,0,7.0,196.8
70.3,3,1.0,38.0,greenfield,0,13.7,221.0
77.8,2,1.0,33.0,hillview,1,10.1,249.2
127.4,4,2.0,30.0,riverside,0,21.4,456.8
115.0,3,1.0,40.0,eastgate,0,18.1,301.0
134.2,4,2.0,51.0,eastgate,1,10.1,437.1
109.8,2,1.0,8.0,oldtown,0,7.5,411.0
115.5,4,2.0,25.0,greenfield,1,6.8,401.7
131.9,4,2.0,43.0,eastgate,1,0.7,442.9
99.2,3,1.0,49.0,eastgate,1,6.3,270.9
126.0,4,3.0,46.0,hillview,1,7.0,504.4
